t;x;y;z;a
1606885445145838;0.7968099;0.83988076;9.401401;3
1606885447585474;1.5553347;0.31345975;9.3511505;3
1606885450025057;1.1006985;-0.2321038;10.057034;3
1606885452464692;0.701097;1.1700903;8.95155;3
1606885454904276;1.8592232;-0.14117654;10.193424;3
1606885457343911;0.37567315;0.60777694;9.5665045;3
1606885459783494;1.4404793;1.0815558;9.497113;3
1606885462223130;1.5840486;-0.2416751;10.351351;3
1606885464662713;0.22013968;0.94755775;9.114262;3
1606885467102349;2.239682;0.65084773;9.970892;3
1606885469541932;1.038485;-0.29192436;9.817751;3
1606885471981567;0.8566305;0.9499506;9.262616;3
1606885474421151;2.4837499;0.43070808;10.10489;3
1606885476860786;0.9882358;-0.2321038;9.645468;3
1606885479300369;1.4141582;0.9523434;9.530613;3
1606885481740005;2.5555346;0.4642076;9.954143;3
1606885484179588;1.3639089;-0.25842485;9.688539;3
1606885486619171;1.6630118;0.849452;9.616755;3
1606885489058807;2.6871397;0.57906306;9.875179;3
1606885491498390;1.8233309;-0.3469593;9.844072;3
1606885493938026;1.4452649;0.5623133;9.521041;3
1606885496377609;2.5603201;0.73459655;9.729217;3
1606885498817244;2.1104696;-0.34217364;9.817751;3
1606885501256828;1.1796615;0.17467605;9.415757;3
1606885503696463;2.239682;0.94755775;9.643075;3
1606885506136046;2.3641088;0.07178468;9.815358;3
1606885508575682;1.3160524;-0.15314065;9.568898;3
1606885511015265;1.6438692;0.849452;9.516255;3
1606885513454901;2.481357;0.64606214;9.729217;3
1606885515894484;1.7922242;-0.27996024;9.626326;3
1606885518334119;1.1700903;0.17228323;9.370294;3
1606885520773703;2.0027926;0.8709874;9.513863;3
1606885523213338;2.2995026;0.17706887;9.650253;3
1606885525652921;1.3591232;-0.37328035;9.475577;3
1606885528092505;1.2753744;0.4139583;9.456435;3
1606885530532140;2.0865414;0.83030945;9.628718;3
1606885532971776;2.1104696;0.02871387;9.702896;3
1606885535411359;1.3471591;-0.3062813;9.602397;3
1606885537850942;1.3280165;0.46899325;9.523434;3
1606885540290578;2.132005;0.72502524;9.74836;3
1606885542730161;2.07697;-0.06699903;9.812965;3
1606885545169796;1.2873386;-0.4546363;9.662218;3
1606885547609380;1.18684;0.2440679;9.633504;3
1606885550049015;1.7874385;0.72263247;9.789038;3
1606885552488599;1.8783658;0.10049855;9.899107;3
1606885554928234;1.1916257;-0.45942193;9.80818;3
1606885557367817;0.7609176;0.033499517;9.676575;3
1606885559807453;1.227518;0.7298109;9.789038;3
1606885562247036;1.6701902;0.4833502;9.923036;3
1606885564686671;1.3232309;-0.29192436;9.839287;3
1606885567126255;0.80159557;-0.3278167;9.669396;3
1606885569565890;0.8853444;0.3900301;9.623933;3
1606885572005474;1.4907285;0.74895346;9.757931;3
1606885574445109;1.7324036;0.22253251;9.8321085;3
1606885576884692;1.3351951;-0.3397808;9.664611;3
1606885579324328;0.9020941;-0.13160525;9.461221;3
1606885581763911;1.0480564;0.6197411;9.49472;3
1606885584203494;1.5529419;0.8662018;9.710074;3
1606885586643130;1.7108682;0.32542387;9.781859;3
1606885589082765;1.3423735;-0.25603202;9.60479;3
1606885591522349;0.9212367;-0.11246266;9.389436;3
1606885593961984;0.9810573;0.55513483;9.442079;3
1606885596401567;1.4261223;0.8805587;9.722038;3
1606885598841151;1.7084754;0.4546363;9.8727865;3
1606885601280786;1.5074782;-0.1794617;9.710074;3
1606885603720369;1.0695918;-0.2632105;9.45165;3
1606885606160005;0.8709874;0.27038896;9.458828;3
1606885608599588;1.079163;0.87338024;9.801002;3
1606885611039224;1.5026926;0.85902333;10.119247;3
1606885613478807;1.5960127;0.28953153;10.030712;3
1606885615918442;1.3471591;-0.22253251;9.635897;3
1606885618358026;1.0049855;-0.14117654;9.372686;3
1606885620797661;0.9020941;0.44506502;9.516255;3
1606885623237244;1.1724831;0.9499506;9.949356;3
1606885625676880;1.5625132;0.89491564;10.133604;3
1606885628116463;1.7970098;0.38763726;9.805787;3
1606885630556099;1.698904;-0.11724831;9.281759;3
1606885632995682;1.4237294;-0.124426775;9.044869;3
