t;x;y;z;a
1607130970862567;1.6031911;0.19381863;10.066605;3
1607130973302150;1.5290136;0.27756742;10.023534;3
1607130975741733;1.4907285;0.33260235;9.894321;3
1607130978181265;1.4620147;0.39720857;9.712467;3
1607130980620848;1.416551;0.47377887;9.521041;3
1607130983060431;1.4045869;0.57906306;9.391829;3
1607130985500015;1.3232309;0.6843473;9.296116;3
1607130987939598;1.2251252;0.77766734;9.183653;3
1607130990379181;1.1030912;0.8255238;9.085547;3
1607130992818765;0.98584294;0.87338024;8.99462;3
1607130995258348;0.9236295;0.9092726;8.867801;3
1607130997697879;0.85184485;0.8877372;8.630911;3
1607131000137463;0.6939186;0.7704889;8.616554;3
1607131002577046;0.72263247;0.7322037;9.312865;3
1607131005016629;0.66041905;0.8422736;9.920643;3
1607131007456213;0.61016977;0.89730847;9.980463;3
1607131009895796;0.6652047;0.7704889;9.71486;3
1607131012335379;0.7298109;0.53359944;9.540184;3
1607131014774911;0.94755775;0.2009971;9.846465;3
1607131017214494;1.227518;-0.069391854;10.246066;3
1607131019654077;1.6127625;-0.08135597;10.449456;3
1607131022093661;1.9573289;0.0526421;10.4016;3
1607131024533244;2.2612174;0.1698904;10.389636;3
1607131026972827;2.469393;0.11964113;10.475778;3
1607131029412411;2.565106;-0.0023928226;10.547563;3
1607131031851994;2.5220351;-0.031106694;10.365707;3
1607131034291525;2.3904297;0.11964113;10.047462;3
1607131036731108;2.1942184;0.43788654;9.781859;3
1607131039170692;1.9980069;0.72502524;9.676575;3
1607131041610275;1.7730815;0.9284152;9.58804;3
1607131044049858;1.5768701;1.038485;9.394221;3
1607131046489442;1.4811572;1.1222339;9.109476;3
1607131048929025;1.4069797;1.2035898;8.831908;3
1607131051368556;1.3280165;1.2873386;8.659625;3
1607131053808140;1.282553;1.3567305;8.681161;3
1607131056247723;1.1700903;1.402194;8.719446;3
1607131058687306;1.0289137;1.4620147;8.740981;3
1607131061126890;0.88295156;1.4835501;8.817552;3
1607131063566473;0.66041905;1.4356936;8.85823;3
1607131066006056;0.49052864;1.3375878;8.992228;3
1607131068445640;0.37806597;1.2323036;9.229117;3
1607131070885171;0.3182454;1.1772687;9.487542;3
1607131073324754;0.34217364;1.1581261;9.750752;3
1607131075764338;0.45702913;1.1437693;9.9038925;3
1607131078203921;0.63888365;1.0432707;10.009177;3
1607131080643504;0.9164511;0.9284152;10.179068;3
1607131083083088;1.2466606;0.8327023;10.289138;3
1607131085522671;1.5936198;0.73459655;10.394422;3
1607131087962202;1.9669002;0.71306115;10.442278;3
1607131090401786;2.268396;0.74177504;10.3848505;3
1607131092841369;2.5292134;0.7968099;10.226924;3
1607131095280952;2.6919255;0.8422736;10.054641;3
1607131097720536;2.737389;0.8997013;9.827323;3
1607131100160119;2.7110682;1.0145568;9.597611;3
1607131102599702;2.6273193;1.146162;9.375079;3
1607131105039286;2.5004997;1.282553;9.219545;3
1607131107478817;2.3306093;1.4069797;9.123833;3
1607131109918400;2.1942184;1.4835501;9.016156;3
1607131112357983;2.07697;1.5122639;8.9013;3
1607131114797567;1.9645073;1.4787644;8.788837;3
1607131117237150;1.8903298;1.4333007;8.733803;3
1607131119676733;1.7754744;1.3663018;8.810373;3
1607131122116317;1.6414764;1.3950156;8.992228;3
1607131124555900;1.4859428;1.3998013;9.195618;3
1607131126995431;1.2969099;1.3160524;9.329616;3
1607131129435015;1.1222339;1.0959128;9.420543;3
1607131131874598;0.9236295;0.9882358;9.547362;3
1607131134314181;0.73459655;1.1174482;9.860822;3
1607131136753765;0.52163535;1.3304094;10.262816;3
1607131139193348;0.34456646;1.4117653;10.542776;3
1607131141632931;0.19621146;1.3160524;10.578669;3
1607131144072463;0.1363909;1.1485549;10.437492;3
1607131146512046;0.09571291;0.9882358;10.200603;3
1607131148951629;0.22013968;0.9068798;10.222138;3
1607131151391213;0.3469593;0.8446664;10.303494;3
1607131153830796;0.41635114;0.7968099;10.205389;3
