t;x;y;z;a
1607014657563668;1.9118652;0.24885355;9.561719;3
1607014660003303;1.902294;0.2321038;9.564112;3
1607014662442887;1.9046868;0.21535404;9.578469;3
1607014664882470;1.8999012;0.20578274;9.573684;3
1607014667322105;1.9046868;0.18664017;9.60479;3
1607014669761689;1.8999012;0.21296121;9.640682;3
1607014672201324;1.8807586;0.20578274;9.65504;3
1607014674640907;1.8329022;0.19860429;9.659825;3
1607014677080491;1.8041883;0.19621146;9.667004;3
1607014679520126;1.7706888;0.19381863;9.68136;3
1607014681959709;1.7706888;0.19860429;9.683753;3
1607014684399345;1.7730815;0.21535404;9.686146;3
1607014686838928;1.7922242;0.21296121;9.667004;3
1607014689278512;1.8329022;0.20817557;9.669396;3
1607014691718147;1.8855443;0.20817557;9.623933;3
1607014694157730;1.9286151;0.21774685;9.6071825;3
1607014696597366;1.969293;0.22492532;9.60479;3
1607014699036949;2.0051854;0.22253251;9.578469;3
1607014701476532;2.0051854;0.23688944;9.549755;3
1607014703916168;1.9788643;0.26081768;9.525827;3
1607014706355751;1.9334008;0.29671;9.504292;3
1607014708795334;1.8807586;0.32542387;9.516255;3
1607014711234970;1.820938;0.30388847;9.497113;3
1607014713674553;1.7754744;0.31106696;9.473185;3
1607014716114189;1.7156538;0.30149564;9.461221;3
1607014718553772;1.7012969;0.28713873;9.4636135;3
1607014720993355;1.6893328;0.24885355;9.489935;3
1607014723432991;1.6677973;0.23928227;9.530613;3
1607014725872574;1.672583;0.23449662;9.561719;3
1607014728312157;1.6773686;0.22971097;9.602397;3
1607014730751793;1.6390835;0.22492532;9.662218;3
1607014733191376;1.5864414;0.22253251;9.702896;3
1607014735631012;1.5601203;0.22013968;9.738789;3
1607014738070595;1.5290136;0.22253251;9.767502;3
1607014740510230;1.4979069;0.22971097;9.786645;3
1607014742949814;1.5050855;0.21774685;9.803394;3
1607014745389397;1.5170496;0.2105684;9.801002;3
1607014747829032;1.5696917;0.2105684;9.786645;3
1607014750268616;1.6247265;0.21774685;9.784252;3
1607014752708199;1.6773686;0.21774685;9.74836;3
1607014755147834;1.7371893;0.23928227;9.700503;3
1607014757587418;1.7874385;0.24885355;9.659825;3
1607014760027001;1.8041883;0.29910284;9.62154;3
1607014762466637;1.7682959;0.32063824;9.573684;3
1607014764906220;1.7443677;0.33738798;9.516255;3
1607014767345855;1.6941184;0.37567315;9.466006;3
1607014769785439;1.6390835;0.39720857;9.432507;3
1607014772225022;1.5960127;0.39960137;9.415757;3
1607014774664657;1.5625132;0.40677986;9.399008;3
1607014777104241;1.5601203;0.4139583;9.415757;3
1607014779543876;1.591227;0.39960137;9.446864;3
1607014781983459;1.6175481;0.40677986;9.470792;3
1607014784423043;1.672583;0.3924229;9.501899;3
1607014786862678;1.727618;0.37088752;9.554541;3
1607014789302262;1.7659031;0.35174492;9.600004;3
1607014791741897;1.8137596;0.33738798;9.645468;3
1607014794181480;1.8448663;0.33260235;9.676575;3
1607014796621064;1.8903298;0.30867413;9.717253;3
1607014799060699;1.9118652;0.31106696;9.7196455;3
1607014801500282;1.9405792;0.27996024;9.745967;3
1607014803939866;1.9860427;0.29671;9.755538;3
1607014806379501;2.0410776;0.29192436;9.755538;3
1607014808819084;2.0841484;0.29192436;9.755538;3
1607014811258720;2.115255;0.31345975;9.738789;3
1607014813698303;2.1655045;0.32303107;9.717253;3
1607014816137887;2.1774685;0.33260235;9.690931;3
1607014818577522;2.1487548;0.34217364;9.635897;3
1607014821017105;2.1128623;0.36370903;9.595219;3
1607014823456689;2.0554347;0.37328035;9.52822;3
1607014825896324;2.0027926;0.3900301;9.482756;3
1607014828335907;1.9262222;0.40917268;9.446864;3
1607014830775543;1.8544376;0.4331009;9.427721;3
1607014833215126;1.7994026;0.44985065;9.41815;3
1607014835654709;1.7419748;0.44985065;9.4229355;3
1607014838094345;1.7515461;0.44985065;9.439685;3
1607014840533928;1.7682959;0.4354937;9.454042;3
1607014842973564;1.7802601;0.43070808;9.45165;3
1607014845413147;1.820938;0.40917268;9.497113;3
1607014847852730;1.8496519;0.37567315;9.5353985;3
1607014850292366;1.8687944;0.34217364;9.583255;3
1607014852731949;1.902294;0.31585258;9.62154;3
1607014855171532;1.9334008;0.2943172;9.657433;3
1607014857611168;1.9669002;0.28235307;9.695718;3
1607014860050751;2.0075781;0.2656033;9.729217;3
1607014862490387;2.0458634;0.2656033;9.750752;3
1607014864929970;2.062613;0.2727818;9.786645;3
1607014867369553;2.0985055;0.2440679;9.79143;3
1607014869809189;2.1248264;0.24885355;9.765109;3
1607014872248772;2.1655045;0.23928227;9.741181;3
1607014874688407;2.160719;0.26081768;9.702896;3
1607014877127991;2.1511476;0.25603202;9.650253;3
1607014879567574;2.1343977;0.23928227;9.595219;3
1607014882007209;2.105684;0.25124636;9.552148;3
1607014884446793;2.0602202;0.25124636;9.523434;3
1607014886886376;2.0195422;0.25842485;9.489935;3
1607014889326012;1.9716859;0.27996024;9.439685;3
1607014891765595;1.9453648;0.2943172;9.432507;3
1607014894205230;1.8951155;0.28235307;9.425328;3
1607014896644814;1.902294;0.27996024;9.410972;3
1607014899084397;1.8975084;0.2656033;9.406186;3
1607014901524032;1.8855443;0.23449662;9.420543;3
1607014903963616;1.8783658;0.22013968;9.442079;3
1607014906403199;1.8687944;0.21774685;9.466006;3
1607014908842834;1.875973;0.18903299;9.504292;3
1607014911282418;1.8735801;0.16271193;9.540184;3
1607014913722053;1.8664017;0.1268196;9.559326;3
1607014916161637;1.8735801;0.08853444;9.585648;3
1607014918601220;1.8903298;0.0741775;9.62154;3
1607014921040855;1.9190438;0.047856454;9.659825;3
1607014923480439;1.9525433;0.043070808;9.678967;3
1607014925920074;1.9764715;0.02871387;9.688539;3
1607014928359657;2.0075781;0.019142581;9.695718;3
1607014930799241;2.0171494;0.023928227;9.693324;3
1607014933238876;2.009971;0.016749758;9.690931;3
1607014935678459;1.9908284;0.040677983;9.698111;3
1607014938118095;1.9573289;0.04546363;9.676575;3
1607014940557678;1.9118652;0.0741775;9.667004;3
1607014942997262;1.8592232;0.09092726;9.626326;3
1607014945436897;1.820938;0.11485548;9.602397;3
1607014947876480;1.7730815;0.12203395;9.583255;3
1607014950316064;1.7491534;0.12921242;9.554541;3
1607014952755699;1.713261;0.12921242;9.533006;3
1607014955195282;1.7300107;0.11246266;9.516255;3
1607014957634918;1.7395821;0.11964113;9.513863;3
1607014960074501;1.7659031;0.11964113;9.501899;3
1607014962514084;1.8137596;0.1052842;9.506684;3
1607014964953720;1.8257236;0.10289137;9.506684;3
1607014967393303;1.8520447;0.12921242;9.516255;3
1607014969832887;1.8711873;0.13878371;9.5353985;3
1607014972272522;1.8687944;0.16510476;9.54497;3
1607014974712105;1.8687944;0.16749759;9.547362;3
1607014977151689;1.8735801;0.15792629;9.556933;3
1607014979591324;1.8735801;0.14356937;9.559326;3
1607014982030907;1.8568304;0.13878371;9.552148;3
1607014984470543;1.847259;0.124426775;9.559326;3
1607014986910126;1.8233309;0.12921242;9.5665045;3
1607014989349709;1.8185452;0.11246266;9.5665045;3
1607014991789345;1.8305093;0.11724831;9.568898;3
1607014994228928;1.820938;0.086141616;9.592826;3
1607014996668564;1.8257236;0.07178468;9.602397;3
1607014999108147;1.8161523;0.08135597;9.62154;3
1607015001547730;1.7898313;0.06699903;9.631111;3
1607015003987366;1.7706888;0.07178468;9.65504;3
1607015006426949;1.7419748;0.0741775;9.678967;3
1607015008866584;1.672583;0.09810573;9.693324;3
1607015011306168;1.6462619;0.11485548;9.724431;3
1607015013745751;1.6247265;0.14596218;9.741181;3
1607015016185387;1.6845472;0.18424734;9.741181;3
1607015018624970;1.7802601;0.18185452;9.729217;3
1607015021064553;1.9238294;0.19621146;9.686146;3
1607015023504189;2.0673988;0.15792629;9.62154;3
1607015025943772;2.115255;0.05742774;9.556933;3
1607015028383407;1.9597218;-0.019142581;9.530613;3
1607015030822991;1.6366907;-0.0047856453;9.564112;3
1607015033262574;1.2634103;0.22492532;9.657433;3
1607015035702209;1.0456635;0.53359944;9.731609;3
1607015038141793;1.2011969;0.72023964;9.705289;3
1607015040581376;1.6390835;0.5623133;9.554541;3
1607015043021012;2.0338993;0.07178468;9.312865;3
1607015045460595;2.0434706;-0.38285163;9.183653;3
1607015047900178;1.68694;-0.2727818;9.30808;3
1607015050339814;1.4117653;0.46181476;9.631111;3
1607015052779397;1.6007984;1.1030912;9.932607;3
1607015055219032;2.0554347;0.8422736;9.882358;3
1607015057658616;2.053042;-0.21535404;9.461221;3
1607015060098199;1.4739788;-0.81595254;9.025727;3
1607015062537834;1.1270195;-0.14596218;9.066405;3
1607015064977418;1.6031911;0.93559366;9.635897;3
1607015067417053;2.1942184;0.8853444;10.164711;3
1607015069856637;1.9046868;-0.076570325;10.124033;3
1607015072296220;1.3304094;-0.2727818;9.626326;3
1607015074735855;1.7419748;0.38524446;9.332008;3
1607015077175439;2.4837499;0.28713873;9.49472;3
1607015079615022;2.0673988;-0.52163535;9.755538;3
1607015082054657;1.2921243;-0.18185452;9.827323;3
1607015084494241;1.7515461;0.89730847;9.860822;3
1607015086933876;2.268396;0.4881358;9.8321085;3
1607015089373459;1.39023;-0.49292147;9.554541;3
1607015091813043;0.9954142;0.13878371;9.35833;3
1607015094252678;1.9932213;0.66999036;9.573684;3
1607015096692262;1.8448663;-0.20338993;9.702896;3
1607015099131897;0.90448695;0.09810573;9.466006;3
1607015101571480;1.7587247;1.1365907;9.499506;3
1607015104011064;2.2827528;0.17706887;9.674182;3
1607015106450699;1.1413764;-0.32542387;9.315259;3
1607015108890282;1.672583;0.74177504;9.128618;3
1607015111329866;2.4837499;0.0526421;9.446864;3
1607015113769501;1.2610176;-0.4331009;9.274581;3
1607015116209084;1.6271194;0.8279166;9.200403;3
1607015118648668;2.495714;0.043070808;9.7196455;3
1607015121088303;1.1724831;-0.4761717;9.45165;3
1607015123527887;1.7204394;0.66999036;9.24826;3
1607015125967522;2.4095724;-0.4139583;9.856036;3
1607015128407105;1.0169497;-0.3900301;9.583255;3
1607015130846689;1.995614;0.61734825;9.667004;3
1607015133286324;2.1535404;-0.71306115;10.334601;3
1607015135725907;0.9619147;0.069391854;9.7196455;3
1607015138165491;2.349752;0.2416751;9.968499;3
1607015140605126;1.6175481;-0.8997013;10.284351;3
1607015143044709;1.268196;0.5168497;9.54497;3
1607015145484345;2.5028925;-0.42592242;10.289138;3
1607015147923928;1.1485549;-0.29192436;9.963714;3
1607015150363512;2.0315065;0.6364908;9.540184;3
1607015152803147;2.1702902;-0.72023964;10.296316;3
1607015155242730;1.3208381;0.6867401;9.19801;3
1607015157682314;2.7230322;-0.09092726;9.755538;3
1607015160121949;1.6175481;-0.014356935;9.638289;3
1607015162561532;2.1559331;0.8877372;8.863015;3
1607015165001168;2.4358935;-0.3804588;9.97807;3
1607015167440751;1.5026926;1.1892328;8.690732;3
1607015169880334;2.5124638;-0.06460621;9.480363;3
1607015172319970;1.5409778;0.70348984;9.3104725;3
1607015174759553;1.8161523;0.6771688;8.62134;3
1607015177199137;1.820938;0.076570325;9.91825;3
1607015179638772;1.2035898;1.282553;8.530413;3
1607015182078355;1.6582261;-0.14117654;9.908679;3
1607015184517939;1.1581261;1.3878372;9.260223;3
1607015186957574;1.2466606;-0.04546363;9.415757;3
1607015189397157;1.3447664;0.94277215;10.042677;3
1607015191836793;1.0624132;0.32303107;9.145369;3
1607015194276376;1.4045869;0.43070808;10.480563;3
1607015196715959;1.3280165;0.81834537;9.389436;3
1607015199155595;1.4237294;-0.014356935;10.480563;3
1607015201595178;1.8520447;1.1437693;9.767502;3
1607015204034814;1.5361922;-0.27038896;10.1599245;3
1607015206474397;2.3856442;1.2849457;10.033105;3
1607015208913980;1.8544376;-0.2656033;9.8632145;3
1607015211353616;2.6249263;1.3399807;10.100104;3
1607015213793199;2.306681;-0.062213387;9.686146;3
1607015216232782;2.629712;1.2993027;9.932607;3
1607015218672418;2.6129622;0.20578274;9.49472;3
1607015221112001;2.495714;1.1916257;9.772287;3
1607015223551584;2.6344976;0.46660042;9.221938;3
1607015225991220;2.3808584;1.0815558;9.698111;3
1607015228430803;2.5028925;0.69152576;8.997013;3
1607015230870439;2.184647;0.93320084;9.619147;3
1607015233310022;2.3377876;0.88295156;8.906086;3
1607015235749605;1.9525433;0.80877405;9.583255;3
1607015238189241;2.225325;0.997807;8.896515;3
1607015240628824;1.8137596;0.526421;9.62154;3
1607015243068407;2.184647;1.1533405;8.973084;3
1607015245508043;1.8281165;0.11485548;9.71486;3
1607015247947626;2.160719;1.2777673;9.128618;3
1607015250387262;2.0171494;-0.26081768;9.772287;3
1607015252826845;2.1655045;1.2059826;9.363115;3
1607015255266428;2.3282163;-0.39481574;9.676575;3
1607015257706064;2.1966112;0.7848458;9.741181;3
1607015260145647;2.6129622;-0.09332009;9.446864;3
1607015262585282;2.3665016;-0.02632105;10.116854;3
1607015265024866;2.7421749;0.45942193;9.260223;3
1607015267464449;2.7469604;-0.76570326;10.183853;3
1607015269904084;2.5842485;0.634098;9.387043;3
1607015272343668;3.0867412;-0.72023964;9.793823;3
1607015274783251;2.5004997;-0.019142581;9.851251;3
1607015277222887;2.9096723;0.14596218;9.176475;3
1607015279662470;2.7948167;-0.87338024;10.13839;3
1607015282102053;2.1415763;0.5407779;9.01137;3
