concessionaria;ano_do_pnv_snv;rodovia;km_m;tipo_de_pista;uf;municipio;sentido;direcao;latitude;longitude;velocidade_regulamentada_veiculos_leves;velocidade_regulamentada_veiculos_pesados;situacao;data_da_inativacao
AUTOPISTA FERNÃO DIAS;2007;BR-381;480,500;Principal;MG;Contagem;Crescente;Sul;-19,958456;-44,055063;60;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;480,550;Principal;MG;Contagem;Crescente;Sul;-19,958302;-44,055452;80;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;482,480;Principal;MG;Betim;Crescente;Sul;-19,958673;-44,074784;80;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;483,670;Principal;MG;Betim;Crescente;Sul;-19,959521;-44,084650;60;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;486,220;Principal;MG;Betim;Crescente;Sul;-19,955737;-44,108396;60;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;490,725;Principal;MG;Betim;Crescente;Sul;-19,956307;-44,149197;80;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;493,060;Principal;MG;Betim;Crescente;Sul;-19,963784;-44,169701;80;80;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;493,235;Principal;MG;Betim;Crescente;Sul;-19,964207;-44,171389;60;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;497,160;Principal;MG;Betim;Crescente;Sul;-19,980479;-44,200886;110;90;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;497,505;Principal;MG;Betim;Crescente;Sul;-19,983519;-44,202344;60;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;498,845;Principal;MG;Betim;Crescente;Sul;-19,993759;-44,208157;60;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;498,845;Principal;MG;Betim;Crescente;Sul;-19,993811;-44,208034;60;60;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;499,535;Principal;MG;Betim;Crescente;Sul;-19,999099;-44,210908;110;90;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;503,430;Principal;MG;Betim;Crescente;Sul;-20,026548;-44,232370;100;80;Ativo;
AUTOPISTA FERNÃO DIAS;2007;BR-381;515,510;Principal;MG;Igarapé;Crescente;Sul;-20,094622;-44,315423;80;80;Ativo;
